object_id,headline,description,material,date,dimensions
1-2024-0523-002,Lampe für Einsatzleuchten,"Dieses Objekt, eine Lampe für Einsatzleuchten, stammt aus den Jahren 1939-1941. Mit einem Gewicht von 3,1 kg und Abmessungen von 80 x 255 x 160 mm (Höhe x Breite x Tiefe) stellt es ein bedeutendes Beispiel für die Beleuchtungstechnologie seiner Zeit dar. Die klare Glasröhre mit ihrem sichtbaren Glühfaden, eingefasst in schwarze Sockel mit metallischen Kontakten, offenbart die Konstruktionselemente einer funktionalen Lampe. Ein angebrachtes Etikett mit handschriftlichen Notizen zur Betriebszeit und Unterschrift liefert zusätzliche Kontextinformationen über die Nutzung des Objekts.",N/A,1939 - 1941,"Masse: 3,1 kg
Objektmaß HxBxT: 80 x 255 x 160 mm"
1-2024-0504-002,Schlüsselpaar aus den 1970er bis 1990er Jahren,"Dieses Ausstellungsobjekt präsentiert zwei identische Schlüssel, die wahrscheinlich zwischen 1975 und 1990 hergestellt wurden. Die Schlüssel sind aus einem unbekannten Material gefertigt und weisen jeweils eine charakteristische Form auf, die für die jeweilige Zeit typisch ist. Die Gravuren auf den Schlüsselköpfen, darunter die Kennzeichnungen ""L54G"", ""L564"" und ""1117"", sowie der Aufdruck ""FORT-LOCK"" geben Hinweise auf den Hersteller und die spezifische Nutzung. Die Abmessungen des Objekts betragen Ø Höhe: 170 x 3 mm (159 x).",N/A,1975 - 1990,Ø Höhe: 170 x 3 mm (159 x)
1-2024-0549-000,Braun G11 Radio,"Dieses Radio, Modell G11, stammt aus dem Jahr 1955 und zeichnet sich durch sein charakteristisches Design aus. Es hat eine Masse von 11,8 kg und die Objektmaße betragen H 355 x B 540 x T 340 mm. Die Frontpartie ist mit einer beleuchteten Senderskala, Drehreglern sowie Bedientasten ausgestattet. Das Gehäuse ist aus Holz gefertigt und verfügt über Lamellen zur Lautsprecherabdeckung an der Oberseite. Die Rückseite offenbart die technischen Anschlüsse und den Geräteaufdruck ""BRAUN RADIO G11"".",N/A,1955,"Masse: 11,8 kg
Objektmaß HxBxT: 355 x 540 x 340 mm"
1-2024-0523-003,Zeitdokument: Eine Verpackung aus den frühen 1940er Jahren,"Dieses Objekt, datiert zwischen 1939 und 1941, stellt eine rechteckige Umverpackung dar. Seine Masse beträgt 3,1 kg, und die Abmessungen sind 80 mm in der Höhe, 255 mm in der Breite und 160 mm in der Tiefe. Die Oberfläche weist eine braune Färbung auf und zeigt deutliche Spuren von Klebeverbindungen an den Kanten, was auf eine Konstruktion aus Papier oder Karton hindeutet. Auf einer Seite ist ein rechteckiger Aufkleber mit einem eingeprägten Emblem und einer Beschriftung angebracht, dessen genauer Inhalt jedoch nicht näher spezifiziert ist.",N/A,1939 - 1941,"Masse: 3,1 kg
Objektmaß HxBxT: 80 x 255 x 160 mm"
1-2024-0564-000,Klassisches Wählscheibentelefon,"Dieses Telefon aus den 1960er Jahren zeigt die typische Formgebung der damaligen Zeit. Es wiegt 2,15 kg und misst in Höhe, Breite und Tiefe 150 x 240 x 185 mm. Charakteristisch ist die integrierte Wählscheibe zur Rufnummerneingabe sowie das separate Hörerteil, verbunden durch geflochtene Kabel. Die glänzende, schwarze Oberfläche verleiht dem Objekt ein zeitloses Design und unterstreicht seine Funktion als Kommunikationsmittel in der Mitte des 20. Jahrhunderts.",N/A,1960er Jahre,"Masse: 2,15 kg
Objektmaß HxBxT: 150 x 240 x 185 mm"
1-2024-0523-001,Schwarzer Kasten mit Kabel,"Dieses Objekt, gefertigt zwischen 1939 und 1941, ist ein kompakter schwarzer Kasten. Er weist eine rechteckige Grundform auf und wird von einem geflochtenen Kabel mit einem Stecker ergänzt. Die Oberfläche des Kastens zeigt mehrere Nieten und einige rechteckige Aussparungen oder Elemente, die auf eine technische Funktion hindeuten. Die Maße des Objekts betragen 80 x 255 x 160 mm, und es wiegt 3,1 kg.",N/A,1939 - 1941,"Masse: 3,1 kg
Objektmaß HxBxT: 80 x 255 x 160 mm"
1-2024-0504-001,Schallplatten Sammlung aus den 1970er und 1980er Jahren,"Diese Sammlung von Schallplatten, gefertigt zwischen 1975 und 1990, repräsentiert ein visuelles Zeugnis der Musikindustrie und des Konsums während dieser Zeit. Die einzelnen Exemplare, alle im Standardformat von 170 x 3 mm (Durchmesser Höhe), zeigen unterschiedliche Labels und Gestaltungselemente, die auf eine Vielfalt von Künstlern und Genres hinweisen könnten. Ohne Angabe des spezifischen Materials bleiben ihre technischen Eigenschaften spekulativ, doch ihre physische Präsenz im Museumskontext eröffnet Möglichkeiten zur Erforschung kultureller und technologischer Entwicklungen der späten 20. Jahrhunderts.",N/A,1975 - 1990,Ø Höhe: 170 x 3 mm (159 x)
1-2024-0504-000,Rock-Ola Jukebox,"Dieses Objekt, ein Rock-Ola Jukebox, wurde zwischen 1975 und 1990 gefertigt. Seine präzisen Abmessungen sind Höhe 170 x 3 mm (159 x). Das Gerät weist eine charakteristische Ästhetik mit einem zentralen Sichtfenster auf, das bunte, geschwungene Linien und das ""ROCK-OLA""-Logo zeigt. Darunter befindet sich eine Reihe von Tasten zur Musikauswahl, flankiert von Lüftungsgittern. Die blaue Einlage im unteren Bereich und die schwarzen, geriffelten Seitenpartien verstärken den visuellen Eindruck des Geräts, das ein ikonisches Beispiel für seine Zeit darstellt.",N/A,1975 - 1990,Ø Höhe: 170 x 3 mm (159 x)
1-2024-0523-000,Tragbares Radio,"Dieses tragbare Radio, gefertigt zwischen 1939 und 1941, besticht durch seine kompakte Bauform und ein Gewicht von 3,1 kg. Mit seinen Abmessungen von 80 x 255 x 160 mm war es für seine Zeit ein Reisebegleiter. Das Gehäuse ist mit einem braunen, krokodilartig gemusterten Material überzogen und verfügt über einen Tragegriff. Die Vorderseite zeigt Lautsprecherabdeckungen, ein Bedienfeld mit Knöpfen und eine Skala zur Frequenzeinstellung. Im Inneren offenbart sich die technische Komplexität mit Röhren und Transformatoren, ein Zeugnis der Radiotechnik des frühen 20. Jahrhunderts.",N/A,1939 - 1941,"Masse: 3,1 kg
Objektmaß HxBxT: 80 x 255 x 160 mm"
1-2024-0563-000,Wählscheibentelefon,"Dieses Telefon aus den 1960er Jahren zeichnet sich durch sein markantes, stromlinienförmiges Design aus. Mit einem Gewicht von 1,85 kg und Abmessungen von 150 x 240 x 185 mm (Höhe x Breite x Tiefe) verkörpert es die technologische Ästhetik seiner Entstehungszeit. Die Wählscheibe mit den Ziffern und die geschwungene Form des Handapparats sind charakteristisch für die Kommunikationstechnologie des mittleren 20. Jahrhunderts. Es stellt ein typisches Beispiel für ein Haustelefon dieser Ära dar.",N/A,1960er Jahre,"Masse: 1,85 kg
Objektmaß HxBxT: 150 x 240 x 185 mm"
