object_id,headline,description,material,date,dimensions
1-2024-0523-002,Hängeglühlampe,"Diese Hängeglühlampe, gefertigt zwischen 1939 und 1941, wiegt 3,1 kg und misst 80 x 255 x 160 mm. Sie ist ein anschauliches Beispiel für die Beleuchtungstechnologie der damaligen Zeit. Die transparente Glaskolbenkonstruktion ermöglicht den Blick auf das Glühwendel im Inneren. Die robusten Anschlüsse und das Gewicht deuten auf eine Anwendung in industriellen oder öffentlichen Bereichen hin, wo Langlebigkeit und Stabilität gefordert waren. Die auf dem Objekt angebrachten Notizen geben Aufschluss über seinen Einsatz und Betrieb.",N/A,1939 - 1941,"Masse: 3,1 kg
Objektmaß HxBxT: 80 x 255 x 160 mm"
1-2024-0737-000,Elektrisches Schaltgerät aus den 1970er Jahren,"Dieses elektrische Schaltgerät, das aus den 1970er Jahren stammt, wiegt 1,7 kg und misst 135 x 110 x 60 mm (H x B x T). Seine robuste, dunkelgrüne Hülle beherbergt eine Reihe von Anschlusspunkten und eine klare Markierung, die auf seine Funktion innerhalb elektrischer Schaltkreise hinweist. Die aufgedruckte Beschriftung „S“, „A2 E1“ sowie „E2“ und „P“ lassen auf die spezifische Anwendung in der Schaltungstechnik schließen. Die Anordnung der Anschlüsse und die Kennzeichnungen deuten auf eine präzise und zuverlässige elektrische Verbindung hin.",N/A,1970er Jahre,"Masse: 1,7 kg
Objektmaß HxBxT: 135 x 110 x 60 mm"
1-2024-0752-000,BTS 1.2.3 ENCODER,"Dieses Gerät, ein BTS 1.2.3 ENCODER, stammt aus dem Jahr 1995 und wiegt 4,3 kg. Mit seinen Maßen von 44 mm Höhe, 480 mm Breite und 405 mm Tiefe handelt es sich um ein raumgreifendes elektronisches Bauteil. Die metallische Konstruktion mit Lüftungsschlitzen und einem Bedienfeld mit Display und Knöpfen deutet auf eine Funktion im Bereich der Signalverarbeitung oder Übertragung hin. Die Beschriftung ""POWER"" und weitere Bedienelemente legen eine komplexe Handhabung nahe, während die Seriennummer und Herstellermarkierungen auf eine industrielle Anwendung verweisen.",N/A,um 1995,"Objektmaß HxBxT: 44 x 480 x 405 mm
Masse: 4,3 kg"
1-2024-0583-000,Philips BTS Angenieux 15x16 HD,"Dieses Objekt, datiert auf um 1990, ist eine Einheit mit den Maßen HxBxT 270 x 260 x 660 mm und einer Masse von 24,8 kg. Seine cremefarbene Hülle ist mit einem schwarzen Objektivschutz versehen, der auf der Vorderseite ein rundes Element aufweist. Auf der Seite sind farbige Streifen und die Schriftzüge ""PHILIPS BTS"" und ""angenieux 15x16 HD"" angebracht. Auf der Rückseite befinden sich Bedienelemente und die Angabe ""microprocessor made in France"", was auf seine technische Funktionalität und Herkunft hinweist.",N/A,um 1990,"Objektmaß HxBxT: 270 x 260 x 660 mm
Masse: 24,8 kg"
1-2024-0523-003,Gekapselte Elektronikkomponente,"Dieses Objekt, gefertigt zwischen 1939 und 1941, ist eine kompakte Elektronikkomponente mit einer Masse von 3,1 kg. Seine äußeren Abmessungen betragen 80 mm in der Höhe, 255 mm in der Breite und 160 mm in der Tiefe. Die äußere Hülle besteht aus einem unspezifizierten Material und ist an den Kanten mit sichtbaren Faltspuren versehen. Auf einer Seite ist ein trapezförmiger Aufkleber mit einem stilisierten Emblem angebracht, das auf die Herkunft oder den Typ der Komponente hinweisen könnte. Die Beschriftung ""EM12"" auf einer der Seiten deutet auf eine spezifische Modellnummer hin.",N/A,1939 - 1941,"Masse: 3,1 kg
Objektmaß HxBxT: 80 x 255 x 160 mm"
1-2024-0549-000,Braun Radio G11: Ein Stück Designgeschichte der Nachkriegszeit,"Dieses Radio der Marke Braun, Modell G11, wurde 1955 hergestellt. Mit seinen Maßen von 355 x 540 x 340 mm und einem Gewicht von 11,8 kg verkörpert es die technologische Entwicklung und das Designverständnis der Nachkriegszeit. Das Gehäuse aus Holz beherbergt die Empfangstechnik und die Bedienelemente, die einen stilvollen Zugang zur damaligen Welt des Rundfunks ermöglichten. Seine Form und Konstruktion zeugen von einer Ära, in der Funktionalität und ästhetische Gestaltung zunehmend Hand in Hand gingen.",N/A,1955,"Masse: 11,8 kg
Objektmaß HxBxT: 355 x 540 x 340 mm"
1-2024-0700-000,Präzisionsmechanismus mit Mikrometerschraube,"Dieses Objekt, gefertigt um 1985, repräsentiert einen Präzisionsmechanismus, dessen genaue Funktion ohne weitere Kontextinformationen nicht abschließend bestimmt werden kann. Es weist eine charakteristische Mikrometerschraube zur feinen Justierung auf. Die Abmessungen des Objekts betragen HxBxT 65 x 130 x 235 mm bei einer Masse von 2,6 kg. Die Konstruktion lässt auf den Einsatz in wissenschaftlichen oder technischen Anwendungen schließen, bei denen exakte Positionierungen und Messungen von entscheidender Bedeutung sind. Das Material ist in der Datenbank nicht spezifiziert.",N/A,um 1985,"Objektmaß HxBxT: 65 x 130 x 235 mm
Masse: 2,6 kg"
1-2024-0583-001,Präzisionsinstrument,"Dieses Objekt, gefertigt um 1990, repräsentiert ein Präzisionsinstrument mit einer Masse von 24,8 kg. Seine physischen Abmessungen betragen HxB: 270 x 260 mm, mit einer Tiefe von 660 mm. Die Konstruktion legt eine spezialisierte Anwendung nahe, bei der genaue Einstellungen und Stabilität erforderlich sind. Das sichtbare Design mit Verstellknöpfen und einer Klemmvorrichtung deutet auf eine Funktion im Bereich der Messtechnik oder optischen Justierung hin. Das Objekt trägt die Kennzeichnung ""Made in France"", was auf seinen Ursprung hinweist.",N/A,um 1990,"Objektmaß HxBxT: 270 x 260 x 660 mm
Masse: 24,8 kg"
1-2024-0586-001,"Konnektor mit flexibler Ummantelung, 1965","Dieses Objekt, datiert auf circa 1965, präsentiert sich als ein Konnektor mit einer flexiblen, gerippten Ummantelung. Seine Abmessungen betragen 180 mm in der Höhe, 125 mm in der Breite und 345 mm in der Tiefe. Mit einer Masse von 34,5 kg deutet sein Gewicht auf eine solide Konstruktion hin, möglicherweise aus Metall oder robusten Kunststoffen. Die genauen Materialien sind nicht spezifiziert, aber die sichtbare Beschaffenheit lässt auf eine Funktion im Bereich der elektrischen oder mechanischen Verbindungen schließen, die eine gewisse Flexibilität und Langlebigkeit erfordert.",N/A,um 1965,"Objektmaß HxBxT: 180 x 125 x 345 mm
Masse: 34,5 kg"
1-2024-0760-000,"Bedienfeld ""BTS""","Dieses Bedienfeld, gefertigt um 1995, demonstriert die technische Ästhetik seiner Zeit. Mit einer Breite von 480 mm und einer Tiefe von 60 mm sowie einer Höhe von 45 mm, ist es für den Einbau in rackmontierte Systeme konzipiert. Das Gerät wiegt 0,8 kg und verfügt über eine Reihe von Tasten, die auf eine Funktion als Steuerelement hindeuten, wie auch die Aufschrift ""CONTROL PANEL"" nahelegt. Die Präsenz des Logos ""BTS"" auf der Frontblende verweist auf den Hersteller oder die Systembezeichnung.",N/A,um 1995,"Objektmaß HxBxT: 45 x 480 x 60 mm
Masse: 0,8 kg"
1-2024-0667-000,Krawatte mit Satellitenmotiv,"Dieses Objekt, eine Krawatte, datiert aus dem Jahr 1990. Die Krawatte ist gestreift und zeigt auf ihrem dunklen Grund ein feines, silbernes Streifenmuster. Zentral ist ein gesticktes Satellitenmotiv, über dem die Beschriftung ""ANT"" zu erkennen ist. Mit einer Länge von 1400 mm und einer Breite von 80 mm sowie einer Höhe von 5 mm, repräsentiert dieses Accessoire einen Kleidungsstil der späten 1980er und frühen 1990er Jahre, der symbolische Elemente in der Mode aufgriff. Das Material ist nicht spezifiziert.",N/A,um 1990,Objektmaß LxBxH: 1400 x 80 x 5 mm
1-2024-0705-000,Konvolut von drei Artefakten,"Dieses Konvolut besteht aus drei schwarzen Artefakten, die um 1985 entstanden sind. Die Objektmaße variieren, mit einer Höhe von etwa 100 x 25 mm pro Stück. Das Gesamtgewicht der Sammlung beträgt 0,55 kg. Ein Objekt ist kreisförmig mit einer zentralen Öffnung, während die beiden anderen eine unregelmäßigere, gewölbte Form aufweisen und ebenfalls über Öffnungen verfügen. Die genaue materielle Beschaffenheit ist nicht angegeben. Die Artefakte geben Aufschluss über frühere Handwerkstechniken oder Nutzgegenstände.",N/A,um 1985,"Ø Höhe: ca. 100 x 25 mm (3 Stück)
Masse: 0,55 kg (Gesamtgewicht)"
1-2024-0586-000,Bedienpult mit Mikrofon und Tastenfeld,"Dieses Bedienpult aus dem Jahr 1965 dient als Schnittstelle für verschiedene Funktionen, wie die Beschriftung mit Tasten wie ""F 9"", ""FO 2"", ""MAZ"", ""KARBI"", ""KKR"", ""T 2"", ""B 2"", ""T 3"", und ""B 3"" vermuten lässt. Die Anordnung der beleuchteten Tasten und eines flexiblen Mikrofons deutet auf eine interaktive Steuerung hin, möglicherweise in einem technischen oder kommunikativen Kontext. Mit seinen Maßen von 180 x 125 x 345 mm und einem Gewicht von 34,5 kg handelt es sich um ein robustes und funktionales Gerät seiner Zeit.",N/A,um 1965,"Objektmaß HxBxT: 180 x 125 x 345 mm
Masse: 34,5 kg"
1-2024-0769-000,Milchradio,"Dieses Objekt, mit den Maßen 95 x 75 x 75 mm, stammt aus dem Jahr 2000. Es präsentiert sich in Form einer Milchpackung, die auf eine unbestimmte, aber suggestive Weise mit einem Radio verbunden ist, wie der handgeschriebene Schriftzug auf der größeren Box andeutet. Die detailreiche Gestaltung der Milchpackung mit landschaftlichen Motiven und Nährwertangaben sowie die Kennzeichnung des innenliegenden Geräts als ""PARTLY SKIMMED MILK"" deuten auf eine originelle und möglicherweise humorvolle Produktverpackung oder ein Werbegeschenk hin, das die Idee eines Radios mit alltäglichen Konsumgütern verbindet.",N/A,um 2000,Objektmaß HxBxT: 95 x 75 x 75 mm
