object_id,primary_category,headline,description,material,date,dimensions
1-2024-0523-002,Power & Electrical,Early High-Intensity Discharge Lamp,"This object is a high-intensity discharge lamp, likely a form of mercury vapor lamp, manufactured between 1939 and 1941. Its glass bulb contains a filament and electrodes, characteristic of early electric lighting technology designed for efficient and bright illumination. The lamp weighs 3.1 kilograms and was intended for operational use. Its design suggests applications where sustained, powerful light output was required.",N/A,1939 - 1941,"Masse: 3,1 kg
Objektmaß HxBxT: 80 x 255 x 160 mm"
1-2024-0737-000,Power & Electrical,Electrical Component from the 1970s,"This object, weighing 1.7 kilograms, is an electrical component dating from the 1970s. Its casing features a schematic diagram indicating its intended electrical connections and function, marked with labels such as ""S"" and ""P"". Multiple binding posts are visible on its top, designed for connecting wires. This device likely played a role in electrical circuits or systems of the era.",N/A,1970er Jahre,"Masse: 1,7 kg
Objektmaß HxBxT: 135 x 110 x 60 mm"
1-2024-0752-000,Communication & Transmission,Digital Video Encoder from the Mid-1990s,"This digital video encoder, manufactured around 1995, represents a significant piece of early digital broadcast technology. With its robust construction and multiple control interfaces, it was designed to process and transmit video signals in an increasingly digital landscape. The unit's design emphasizes functionality, featuring a front panel with a display and various input buttons for operational control. Its substantial weight indicates the complex internal components necessary for its demanding tasks.",N/A,um 1995,"Objektmaß HxBxT: 44 x 480 x 405 mm
Masse: 4,3 kg"
1-2024-0583-000,Audio/Visual,Philips BTS Angénieux Lens System,"This Philips BTS Angénieux lens system, dating from around 1990, is a significant piece of broadcasting technology. The system incorporates a 15x16 HD lens, suggesting its use in high-definition video production. Its robust construction and the presence of controls indicate its role in professional audiovisual recording, likely within television or film studios. The object's substantial weight further emphasizes its professional-grade build and the advanced components it houses.",N/A,um 1990,"Objektmaß HxBxT: 270 x 260 x 660 mm
Masse: 24,8 kg"
1-2024-0523-003,Other,Early Telefunken Component Case,"This object is a case from the Telefunken company, dating between 1939 and 1941. Weighing 3.1 kilograms, it likely housed a precision component essential for communication or audio-visual technologies of the era. The simple, robust construction suggests it was designed for protection and safe transport of sensitive electronic parts during a period of rapid technological advancement.",N/A,1939 - 1941,"Masse: 3,1 kg
Objektmaß HxBxT: 80 x 255 x 160 mm"
1-2024-0549-000,Communication & Transmission,Braun Radio G11: A Mid-Century Communication Device,"This Braun Radio G11, manufactured in 1955, exemplifies mid-century design in electronic home appliances. Weighing 11.8 kilograms, its wooden casing houses the sophisticated components that allowed for the reception of radio broadcasts. The front panel features a detailed tuning dial and selection buttons, indicative of its primary function in audio communication and entertainment. This object represents a significant piece of technological history from the post-war era.",N/A,1955,"Masse: 11,8 kg
Objektmaß HxBxT: 355 x 540 x 340 mm"
1-2024-0700-000,Measurement & Testing,Precision Measurement Stage,"This precision instrument, dating from approximately 1985, showcases sophisticated engineering for fine control and measurement. Its construction suggests it was designed for applications requiring highly accurate positioning and adjustment. The device weighs 2.6 kilograms, indicating robust build quality, and its complex mechanisms are indicative of its purpose in meticulous scientific or industrial processes.",N/A,um 1985,"Objektmaß HxBxT: 65 x 130 x 235 mm
Masse: 2,6 kg"
1-2024-0583-001,Mechanical Component,Precision Mount for Scientific Observation,"This object, dating from approximately 1990, is a robust mechanical apparatus designed for precise positioning and holding. Its construction suggests a role in scientific or observational equipment, requiring stable and adjustable support. The piece exhibits a sturdy build with significant weight, indicating its capacity to securely anchor components during use. Its intricate design points towards specialized applications within a laboratory or observational setting.",N/A,um 1990,"Objektmaß HxBxT: 270 x 260 x 660 mm
Masse: 24,8 kg"
1-2024-0586-001,Power & Electrical,Vintage Electrical Connector Assembly,"This object, dating from approximately 1965, is a substantial piece with significant weight, indicating robust construction. It features a flexible, ribbed conduit connecting various electrical components and connectors. The precise material is not specified, but its substantial mass and intended function suggest a durable construction designed for reliable electrical connections in demanding environments. This assembly likely served a critical role in power distribution or signal transmission within a larger system of its era.",N/A,um 1965,"Objektmaß HxBxT: 180 x 125 x 345 mm
Masse: 34,5 kg"
1-2024-0760-000,Communication & Transmission,BTS Control Panel,"This control panel, manufactured around 1995, features a series of buttons and indicates functionality for managing a system. The ""BTS"" branding suggests its origin or application within a specific technological context. Designed for integration into larger equipment racks, this panel likely served as a key interface for operational control and monitoring, its robust construction implying durability and reliability in its intended environment.",N/A,um 1995,"Objektmaß HxBxT: 45 x 480 x 60 mm
Masse: 0,8 kg"
