object_id,headline,description,material,date,dimensions
1-2024-0523-002,Glühlampe mit Halterung,"Dieses Objekt, eine Glühlampe mit den Maßen 80 x 255 x 160 mm und einem Gewicht von 3,1 kg, wurde zwischen 1939 und 1941 gefertigt. Es präsentiert sich mit einem durchsichtigen Glaszylinder, der im Inneren einen Glühfaden und Anschlussdrähte beherbergt. An beiden Enden des Zylinders sind schwarze Kappen mit metallischen Halterungen angebracht, die zur Montage und zum elektrischen Anschluss dienen. Ein kleines, beigelegtes Etikett mit handschriftlichen Notizen deutet auf seine technische Nutzung und den Zustand hin.",N/A,1939 - 1941,"Masse: 3,1 kg
Objektmaß HxBxT: 80 x 255 x 160 mm"
1-2024-0737-000,Schaltapparat der 1970er Jahre,"Dieser Schaltapparat, gefertigt in den 1970er Jahren, besticht durch seine robuste Bauweise und funktionale Gestaltung. Mit einem Gewicht von 1,7 kg und den Maßen 135 x 110 x 60 mm, ist er ein kompaktes technisches Bauteil. Seine Oberseite ist mit mehreren Anschlusspunkten und einer klaren Beschriftung versehen, die auf seine spezifische Funktion im elektrischen System hinweist. Die Kennzeichnung ""12-124-3592"" und das Symbol mit einem stilisierten ""S"" lassen auf seine Herkunft und seinen Verwendungszweck schließen.",N/A,1970er Jahre,"Masse: 1,7 kg
Objektmaß HxBxT: 135 x 110 x 60 mm"
1-2024-0752-000,Signal Encoder der Firma BTS,"Dieses Gerät, ein Signal-Encoder der Firma BTS, stammt aus dem Jahr 1995. Seine Maße betragen 44 mm in der Höhe, 480 mm in der Breite und 405 mm in der Tiefe, bei einem Gewicht von 4,3 kg. Das Gehäuse ist aus Metall gefertigt und verfügt über eine Bedieneinheit mit einem LC-Display, mehreren Tasten und einem Power-Schalter. Lüftungsschlitze an der Ober- und Rückseite deuten auf eine interne Wärmeentwicklung hin, die eine Kühlung erfordert. Die Beschriftungen auf der Frontseite lassen auf Funktionen wie Kontrast und weitere Einstellungsmöglichkeiten schließen, während die Rückseite Anschlüsse für externe Verbindungen aufweist.",N/A,um 1995,"Objektmaß HxBxT: 44 x 480 x 405 mm
Masse: 4,3 kg"
1-2024-0583-000,Philips BTS Angénieux 15x16 HD,"Dieses Objekt aus dem Jahr 1990 repräsentiert einen fortschrittlichen Kamerakopf. Mit einer Höhe von 270 mm, einer Breite von 260 mm und einer Tiefe von 660 mm weist es eine Masse von 24,8 kg auf. Die Kombination aus cremefarbenem Gehäuse und schwarzen Elementen verleiht ihm ein professionelles Erscheinungsbild. Deutlich sichtbar sind die Markierungen ""PHILIPS"", ""BTS"" und ""angénieux 15x16 HD"", die auf seine technische Herkunft und Spezifikation hinweisen. Dieses Gerät war für professionelle Videoaufnahmen im HD-Format konzipiert.",N/A,um 1990,"Objektmaß HxBxT: 270 x 260 x 660 mm
Masse: 24,8 kg"
1-2024-0523-003,Kastenobjekt mit Kennzeichnung,"Dieses Objekt, datiert zwischen 1939 und 1941, ist ein Kasten von bemerkenswerter Masse von 3,1 kg. Seine Abmessungen betragen 80 mm in der Höhe, 255 mm in der Breite und 160 mm in der Tiefe. Die äußere Erscheinung deutet auf eine schlichte Konstruktion hin, wobei die Seiten mit sichtbaren Nähten verbunden sind. Auf einer der Stirnseiten befindet sich eine stempelähnliche Kennzeichnung mit der Aufschrift ""C/1563"" über einem stilisierten Quadrat, das ein Logo oder Wappen darstellt, möglicherweise ein Hinweis auf den ursprünglichen Hersteller oder Zweck. Das Objekt repräsentiert ein Stück Technikgeschichte oder ein Aufbewahrungselement aus einer bestimmten Periode.",N/A,1939 - 1941,"Masse: 3,1 kg
Objektmaß HxBxT: 80 x 255 x 160 mm"
1-2024-0549-000,"Radio ""Braun G11""","Dieses von Braun entworfene Radio ""G11"" aus dem Jahr 1955 repräsentiert ein bedeutendes Beispiel für das Design der Nachkriegszeit. Mit seinen Maßen von 355 x 540 x 340 mm und einem Gewicht von 11,8 kg weist es eine solide Konstruktion auf. Das Gehäuse aus hellen Holzfurnieren und die klare Anordnung der Bedienelemente und des Lautsprechers am Frontend zeugen von einem funktionalen und ästhetisch ansprechenden Designansatz. Das Gerät diente der Unterhaltung und Informationsvermittlung in den Haushalten der 1950er Jahre.",N/A,1955,"Masse: 11,8 kg
Objektmaß HxBxT: 355 x 540 x 340 mm"
1-2024-0700-000,Präzisions-Mikroskopie-Objektivhalterung,"Dieses aus den frühen 1980er Jahren stammende Präzisionsinstrument dient als Halterung für Mikroskopie-Objektive. Seine robusten Abmessungen von 65 mm Höhe, 130 mm Breite und 235 mm Tiefe, bei einem Gewicht von 2,6 kg, unterstreichen seine Stabilität und präzise Ausführung. Die Konstruktion mit integriertem Mikrometerschrauben-Mechanismus deutet auf feine Einstellmöglichkeiten hin, die für anspruchsvolle optische Anwendungen unerlässlich sind. Das Objekt ist ein Beispiel für die Ingenieurskunst in der wissenschaftlichen Ausrüstung jener Zeit.",N/A,um 1985,"Objektmaß HxBxT: 65 x 130 x 235 mm
Masse: 2,6 kg"
1-2024-0583-001,Präzisions-Montagevorrichtung,"Diese Präzisions-Montagevorrichtung, datiert um 1990, weist eine massive Bauweise auf und misst 270 x 260 x 660 mm bei einem Gewicht von 24,8 kg. Ihre robuste Konstruktion und die offensichtliche Eignung für feine Justierungen deuten auf einen Einsatz in Bereichen hin, die äußerste Genauigkeit erfordern, wie beispielsweise in der wissenschaftlichen Forschung oder in der Feinmechanik. Das Objekt demonstriert durch seine Fertigungsweise und seine kompakten Abmessungen eine fokussierte Funktionalität, ohne jedoch spezifische Materialinformationen zu offenbaren.",N/A,um 1990,"Objektmaß HxBxT: 270 x 260 x 660 mm
Masse: 24,8 kg"
1-2024-0586-001,Konnektor-Baugruppe um 1965,"Diese Konnektor-Baugruppe, gefertigt um 1965, zeichnet sich durch ihre robusten Abmessungen von 180 x 125 x 345 mm und ein beachtliches Gewicht von 34,5 kg aus. Das Objekt besteht aus verschiedenen Elementen, darunter ein flexibler, gerippter Schlauch und mehrere Anschlüsse unterschiedlicher Form und Größe. Die genaue Materialzusammensetzung ist nicht spezifiziert. Die Baugruppe deutet auf eine Funktion im Bereich der elektrischen oder mechanischen Verbindung hin, möglicherweise in einem industriellen oder technischen Kontext ihrer Entstehungszeit.",N/A,um 1965,"Objektmaß HxBxT: 180 x 125 x 345 mm
Masse: 34,5 kg"
1-2024-0760-000,"Steuereinheit ""BTS""","Dieses Bedienfeld, datiert um 1995, präsentiert sich als ein wesentlicher Bestandteil technischer Systeme. Mit seinen Abmessungen von 45 x 480 x 60 mm und einem Gewicht von 0,8 kg ist es robust und funktional gestaltet. Die Reihe von quadratischen Tasten und die Beschriftung ""CONTROL PANEL"" deuten auf seine Aufgabe als Schnittstelle zur Steuerung von Prozessen hin. Die Marke ""BTS"" auf der linken Seite identifiziert den Hersteller. Dieses Objekt repräsentiert einen typischen Aspekt der Benutzerinteraktion mit elektronischen Geräten dieser Ära.",N/A,um 1995,"Objektmaß HxBxT: 45 x 480 x 60 mm
Masse: 0,8 kg"
