object_id,headline,description,material,date,dimensions
1-2024-0523-002,Early Electric Lamp with Operational Data Tag,"This electric lamp, dating from 1939-1941, weighs 3.1 kg and measures 80 x 255 x 160 mm (height x width x depth). Its glass bulb contains the filament assembly, which is attached to dark-colored end caps. A paper tag, still affixed to the object, provides information regarding its operational status, total burning hours, and space for a signature, suggesting it was used and maintained within an industrial or technical setting during its period of use.",N/A,1939 - 1941,"Masse: 3,1 kg
Objektmaß HxBxT: 80 x 255 x 160 mm"
1-2024-0737-000,Electrical Component Enclosure,"This object, dating from the 1970s, is an electrical component housed within a robust, dark green enclosure. Its dimensions are 135 x 110 x 60 mm, and it weighs 1.7 kg. The exterior features various connection terminals and labeling, including the designations ""S,"" ""A2,"" ""E1,"" ""E2,"" and ""P."" These markings, along with the schematic diagram etched on the surface, suggest its function as part of an electrical circuit. The enclosure is designed for practical application, evidenced by the mounting points on its sides.",N/A,1970er Jahre,"Masse: 1,7 kg
Objektmaß HxBxT: 135 x 110 x 60 mm"
1-2024-0752-000,"BTS 1231 Encoder, circa 1995","This BTS 1231 Encoder, dating from approximately 1995, is a rack-mountable electronic device. It measures 44 mm in height, 480 mm in width, and 405 mm in depth, with a substantial mass of 4.3 kg. The front panel features an LCD display, four control buttons, and further operational buttons labeled ""CONTRAST,"" ""OFF,"" and ""ON."" The casing, made of an unspecified material, is designed for ventilation with prominent grilles along the top and sides. This encoder represents a significant piece of broadcast technology from its era.",N/A,um 1995,"Objektmaß HxBxT: 44 x 480 x 405 mm
Masse: 4,3 kg"
1-2024-0583-000,Broadcast Television Camera Lens,"This broadcast television camera lens, dating from approximately 1990, is a Philips BTS Angenieux 15x16 HD model. Its substantial weight of 24.8 kg and dimensions of 270 x 260 x 660 mm suggest its professional-grade construction and integration into complex broadcasting equipment. The visible branding and technical specifications, including ""microprocessor made in France,"" highlight its role in advanced video production of the era.",N/A,um 1990,"Objektmaß HxBxT: 270 x 260 x 660 mm
Masse: 24,8 kg"
1-2024-0523-003,Early Electronic Component Packaging,"This object, dated 1939-1941, is a simple rectangular container. It has a mass of 3.1 kg and measures 80 x 255 x 160 mm. The packaging appears to be constructed from a textured, light brown material, possibly cardboard. Faint vertical and horizontal score marks are visible along the edges, suggesting its construction method. A small, grey rectangular label with a diamond-shaped emblem is affixed to one of the wider sides, indicating branding or product identification. The object's form and likely material suggest it was designed for protective transport or storage of a delicate item, possibly an early electronic component.",N/A,1939 - 1941,"Masse: 3,1 kg
Objektmaß HxBxT: 80 x 255 x 160 mm"
1-2024-0549-000,Braun G11 Radio: A Mid-Century Design Icon,"This Braun G11 radio, created in 1955, exemplifies mid-century modernist design. Its clean lines and natural wood casing, combined with a functional control panel featuring a detailed frequency dial, reflect a focus on user experience and aesthetic harmony. Weighing 11.8 kg and measuring 355 x 540 x 340 mm, the object's substantial presence is balanced by its refined appearance. The design emphasizes clarity and accessibility, showcasing the technological advancements of the era within a thoughtfully crafted form.",N/A,1955,"Masse: 11,8 kg
Objektmaß HxBxT: 355 x 540 x 340 mm"
1-2024-0700-000,Precision Measurement Device,"This precision measurement device, dating from approximately 1985, is constructed from metallic components. It measures 65 mm in height, 130 mm in width, and 235 mm in depth, with a total mass of 2.6 kg. The object features a micrometer adjustment mechanism, indicating its use in highly accurate measurements and fine positioning. Its robust construction and integrated measuring tool suggest application in scientific, engineering, or manufacturing contexts requiring meticulous calibration and control.",N/A,um 1985,"Objektmaß HxBxT: 65 x 130 x 235 mm
Masse: 2,6 kg"
1-2024-0583-001,Precision Instrument Mount,"This object, dated approximately 1990, is a precisely engineered instrument mount. It features a robust clamp mechanism designed for secure attachment to a surface. The main body of the mount incorporates adjustable components and what appears to be a calibrated dial or ring, suggesting its use in scientific or technical applications requiring accurate positioning. Its substantial weight of 24.8 kg and dimensions of 270 x 260 x 660 mm indicate a substantial and durable construction.",N/A,um 1990,"Objektmaß HxBxT: 270 x 260 x 660 mm
Masse: 24,8 kg"
1-2024-0586-001,"Technical Component, c. 1965","This object, dating to approximately 1965, comprises a flexible conduit connecting two distinct connector elements. Its substantial mass of 34.5 kg and dimensions of 180 x 125 x 345 mm suggest a robust and possibly industrial application. The materials are not specified, but the design implies a function related to electrical or signal transmission. The object's purpose and original context remain unknown, inviting speculation about its role in the technological landscape of the mid-20th century.",N/A,um 1965,"Objektmaß HxBxT: 180 x 125 x 345 mm
Masse: 34,5 kg"
1-2024-0760-000,"BTS Control Panel, c. 1995","This control panel, dating from approximately 1995, features a long, slender metallic housing with a series of sixteen square buttons arranged in a single row. The word ""BTS"" is visible on the left side of the panel, and ""CONTROL PANEL"" is printed on the right. A single green-lit button or indicator is positioned towards the right end of the row. The panel measures 45 x 480 x 60 mm and weighs 0.8 kg. Its compact design suggests it was intended for integration into a larger system.",N/A,um 1995,"Objektmaß HxBxT: 45 x 480 x 60 mm
Masse: 0,8 kg"
1-2024-0667-000,Emblematic Neckwear: A Tie from the Dawn of the Satellite Era,"This necktie, dated circa 1990, features a dark fabric adorned with subtle diagonal stripes. Prominently displayed on the fabric is an embroidered image of a satellite, accompanied by the text ""ANT."" The overall dimensions of the object are 1400 x 80 x 5 mm. Its visual design suggests a connection to the burgeoning era of satellite technology and communication, making it a symbolic artifact from that period.",N/A,um 1990,Objektmaß LxBxH: 1400 x 80 x 5 mm
1-2024-0705-000,"Ancient Weights, Circa 1985","This collection comprises three unidentified objects, dating to approximately 1985. Visually, they appear to be weights, with two objects featuring a substantial, rounded form, and a third object being disc-shaped with a central perforation. The total weight of the group is 0.55 kg. Each of the rounded objects measures approximately 100 mm in height and 25 mm in diameter. While their precise function remains undefined, their substantial mass and form suggest a utilitarian purpose, possibly for measurement or stabilization.",N/A,um 1985,"Ø Höhe: ca. 100 x 25 mm (3 Stück)
Masse: 0,55 kg (Gesamtgewicht)"
1-2024-0586-000,Vintage Control Panel with Microphone,"This object, dating from approximately 1965, is a control panel featuring a flexible gooseneck microphone. The panel is equipped with multiple buttons and indicators, suggesting its use in an operational or communication setting. Its substantial mass of 34.5 kg and dimensions of HxWxD: 180 x 125 x 345 mm indicate a robust construction. The surface bears the inscription ""DFFD,"" hinting at its potential origin or purpose. The overall design reflects the technological aesthetic of mid-20th century equipment.",N/A,um 1965,"Objektmaß HxBxT: 180 x 125 x 345 mm
Masse: 34,5 kg"
1-2024-0769-000,Milch Radios: A Miniature Sound Device,"This ""Milch Radios"" object, dated circa 2000, measures 95 x 75 x 75 mm. It is presented in a cardboard box designed to resemble a milk carton, with a larger, open cardboard container housing the main unit. The miniature radio is housed within the milk carton packaging. The object’s compact size and novelty design suggest it was likely a promotional item or a small, portable electronic device. The materials are not specified in the database.",N/A,um 2000,Objektmaß HxBxT: 95 x 75 x 75 mm
1-2024-0732-000,Rotary Dial Telephone from the 1950s,"This rotary dial telephone, dating from the 1950s, exemplifies early post-war communication technology. Its design features a substantial handset connected by a coiled cord, resting on a curved base. The prominent rotary dial, a hallmark of its era, is situated on the front. The object has a mass of 1.25 kg and measures 140 x 130 x 220 mm (height x width x depth). Its physical form offers insight into the everyday tools that facilitated connection in the mid-20th century.",N/A,1950er Jahre,"Masse: 1,25 kg
Objektmaß HxBxT: 140 x 130 x 220 mm"
1-2024-0504-002,Fort Lock Keys,"This artifact, dated between 1975 and 1990, consists of two keys attached to a metal ring. Each key features a distinct cut pattern on its blade and a bow stamped with identifying marks. One key displays ""FORT-LOCK"" along its upper edge and the numeral ""700"" near the bow. The other key's bow is marked with ""L54G"" and ""L564"", along with the numeral ""1117"". The overall dimensions of the set are approximately 170 x 3 mm.",N/A,1975 - 1990,Ø Höhe: 170 x 3 mm (159 x)
