object_id,headline,description,material,date,dimensions
1-2024-0523-002,Early Electrical Component,"This cylindrical electrical component, dating from 1939-1941, weighs 3.1 kg and measures 80 x 255 x 160 mm. It features a glass enclosure containing a filament, supported by dark terminals at each end. A paper tag attached to the object indicates it was in operation and records total burn-in hours, suggesting its function within a larger electrical system during a period of technological advancement. Its robust construction points to its potential use in industrial or critical applications.",N/A,1939 - 1941,"Masse: 3,1 kg
Objektmaß HxBxT: 80 x 255 x 160 mm"
1-2024-0737-000,Electrical Component from the 1970s,"This robust electrical component, dating from the 1970s, weighs 1.7 kg and measures 135 x 110 x 60 mm. Its utilitarian design features multiple connection terminals and clear labeling indicating input and output points. The object's construction suggests it was intended for functional use, likely within a larger electrical system or apparatus. The prominent markings and robust build hint at its purpose in industrial or technical applications, prioritizing durability and reliable connectivity.",N/A,1970er Jahre,"Masse: 1,7 kg
Objektmaß HxBxT: 135 x 110 x 60 mm"
1-2024-0752-000,BTS Video Encoder,Description not available.,N/A,um 1995,"Objektmaß HxBxT: 44 x 480 x 405 mm
Masse: 4,3 kg"
1-2024-0583-000,Philips BTS Angénieux 15x16 HD Broadcast Lens,"This professional broadcast lens, manufactured by Philips BTS, features an Angénieux 15x16 HD zoom. Dated to approximately 1990, the device has a significant mass of 24.8 kg and measures 270 x 260 x 660 mm. Its substantial dimensions and weight suggest it was designed for robust studio or field use. The visible branding and model designation indicate its purpose within high-definition broadcasting, highlighting technological advancements in lens design during the early 1990s.",N/A,um 1990,"Objektmaß HxBxT: 270 x 260 x 660 mm
Masse: 24,8 kg"
1-2024-0523-003,Early 20th-Century Electronic Component Casing,"This object, dated between 1939 and 1941, measures 80 x 255 x 160 mm and weighs 3.1 kg. Its exterior is constructed from a simple, unadorned material, presenting a utilitarian design. A distinctive label is affixed to one face, featuring a stylized graphic element and text that suggests its purpose as a protective casing for electronic components. The precise nature of the material is not specified, but the overall form indicates it served a functional role in the storage or transport of sensitive items during a pivotal period of technological development.",N/A,1939 - 1941,"Masse: 3,1 kg
Objektmaß HxBxT: 80 x 255 x 160 mm"
1-2024-0549-000,Braun Radio G11,"This radio, manufactured in 1955, is a fine example of mid-century electronic design. Its wooden casing houses the intricate radio components, with a distinctive grille and a detailed tuning dial clearly visible on the front. Measuring 355 x 540 x 340 mm and weighing 11.8 kg, the object represents the domestic technology of its era. The rear panel reveals the branding ""BRAUN RADIO G11"" and technical specifications, indicating its function as a broadcast receiver.",N/A,1955,"Masse: 11,8 kg
Objektmaß HxBxT: 355 x 540 x 340 mm"
1-2024-0700-000,Precision Micro-Positioning Stage,"This precision instrument, dating from circa 1985, is a micro-positioning stage designed for accurate movement and placement. Its robust construction is evident in its substantial mass of 2.6 kg and its dimensions of 65 mm in height, 130 mm in width, and 235 mm in depth. The stage features a micrometer head for fine adjustments, indicating its role in applications requiring high precision. While the material is not specified, its metallic components suggest durability and stability for laboratory or industrial use.",N/A,um 1985,"Objektmaß HxBxT: 65 x 130 x 235 mm
Masse: 2,6 kg"
1-2024-0583-001,Precision Astronomical Mount,"This object, dating from approximately 1990, is a precision astronomical mount. Its robust construction suggests a functional purpose in supporting scientific instruments. The mount has a substantial mass of 24.8 kg and dimensions of 270 mm in height, 260 mm in width, and 660 mm in depth. Its intricate mechanical components and overall design indicate it was engineered for stability and accurate positioning in astronomical observation or related scientific applications. The ""Made in France"" inscription suggests its origin and the quality of craftsmanship associated with its manufacture.",N/A,um 1990,"Objektmaß HxBxT: 270 x 260 x 660 mm
Masse: 24,8 kg"
1-2024-0586-001,Electrical Connector Assembly,"This electrical connector assembly, dating from approximately 1965, is characterized by its robust construction. The object measures 180 x 125 x 345 mm and weighs 34.5 kg. Its design features a corrugated flexible conduit leading to distinct male and female connector housings, suggesting a purpose in connecting electrical systems. The absence of specified material in the database implies a focus on its functional form and historical context within electrical engineering or manufacturing.",N/A,um 1965,"Objektmaß HxBxT: 180 x 125 x 345 mm
Masse: 34,5 kg"
1-2024-0760-000,BTS Control Panel,"This control panel, dating from around 1995, is a compact piece of electronic equipment measuring 45 x 480 x 60 mm and weighing 0.8 kg. Its metal casing features a series of buttons or indicators arranged in a row, suggesting its function as an interface for operating or monitoring a system. The inscription ""BTS"" and ""CONTROL PANEL"" clearly identify its manufacturer and purpose. The panel's design is utilitarian, optimized for integration into a larger electronic apparatus.",N/A,um 1995,"Objektmaß HxBxT: 45 x 480 x 60 mm
Masse: 0,8 kg"
